identifier	name	participants	participatingComplex	pubMedIdentifiers
R-HSA-1067674	"IL6:IL6R-2:IL6ST-2 [extracellular region]"	uniprot:P40189-2|uniprot:P05231|uniprot:P08887-2	R-HSA-1067687	11121117
R-HSA-1067687	"IL6:IL6R-2 [extracellular region]"	uniprot:P05231|uniprot:P08887-2	-	2788034|16707558
R-HSA-1067690	"IL6ST:JAK1, JAK2, (TYK2) [plasma membrane]"	uniprot:P40189|uniprot:P29597|uniprot:P23458|uniprot:O60674	-	10861237|27119567|12773095|11557047|8272873|11468294|8134389|7537214|9590172
R-HSA-1067691	"IL6:sIL6R:IL6RB:JAKs [plasma membrane]"	uniprot:P05231|uniprot:P08887-2|uniprot:P40189|uniprot:P29597|uniprot:P23458|uniprot:O60674	R-HSA-1067687|R-HSA-1067690	2261637|2788034|16707558
R-HSA-109266	"NT5E:Zn2+ dimer [plasma membrane]"	chebi:29105|uniprot:P21589	-	1637327|3036115
R-HSA-109318	"NT5C2 tetramer [cytosol]"	uniprot:P49902|chebi:18420	-	2848805|17405878
R-HSA-109363	"NT5C1A tetramer [cytosol]"	uniprot:Q9BXI3|chebi:18420	-	-
R-HSA-109433	"NT5C3 holoenzyme [cytosol]"	chebi:18420|uniprot:Q9H0P0-4	-	9428647|11795870
R-HSA-109468	"NT5C dimer [cytosol]"	chebi:18420|uniprot:Q8TCD5	-	2157703
R-HSA-109497	"NT5M dimer [mitochondrial matrix]"	uniprot:Q9NPB1|chebi:18420	-	12352955|10899995
R-HSA-109626	"TFIID [nucleoplasm]"	uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804	-	9405375|9488465|11438666|8663456|9256425|9774672|15899866|1939271|7601352|11739720|18087068
R-HSA-109628	"pol II promoter:TFIID complex [nucleoplasm]"	uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804	R-HSA-109626	8330735|8946909
R-HSA-109629	"TFIIA [nucleoplasm]"	uniprot:P52655|uniprot:P52657	-	9405375|9256425|1939271|7601352|11739720
R-HSA-109630	"pol II promoter:TFIID:TFIIA:TFIIB complex [nucleoplasm]"	uniprot:Q00403|uniprot:P52655|uniprot:P52657|uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804	R-HSA-109629|R-HSA-109628|R-HSA-109626	8946909
R-HSA-109631	"TFIIF [nucleoplasm]"	uniprot:P35269|uniprot:P13984	-	15489290|11859374
R-HSA-109632	"pol II promoter:TFIID:TFIIA:TFIIB:Pol II:TFIIF complex [nucleoplasm]"	uniprot:P35269|uniprot:P13984|uniprot:P30876|uniprot:P19388|uniprot:P53803|uniprot:P19387|uniprot:P62875|uniprot:P52434|uniprot:P61218|uniprot:O15514|uniprot:P36954|uniprot:P52435|uniprot:P62487|uniprot:P24928|uniprot:Q00403|uniprot:P52655|uniprot:P52657|uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804	R-HSA-71307|R-HSA-109631|R-HSA-113401|R-HSA-109630|R-HSA-109629|R-HSA-109628|R-HSA-109626	8946909
R-HSA-109633	"TFIIE [nucleoplasm]"	uniprot:P29084|uniprot:P29083	-	9405375|9256425|1939271|7601352|11739720
R-HSA-109634	"TFIIH [nucleoplasm]"	uniprot:Q92759|uniprot:P19447|uniprot:Q13889|uniprot:Q13888|uniprot:P32780|uniprot:Q6ZYL4|uniprot:P50613|uniprot:P51948|uniprot:P51946|uniprot:P18074	R-HSA-69221	12370301|24127601|22466612|9790902|22466610|22466611|11007478|15220921|23973375|16751180|20541997|11313498|23906714|11313499|9765293|1939271|9130708|22902626
R-HSA-109635	"pol II closed pre-initiation complex [nucleoplasm]"	uniprot:P29084|uniprot:P29083|uniprot:P35269|uniprot:P13984|uniprot:P30876|uniprot:P19388|uniprot:P53803|uniprot:P19387|uniprot:P62875|uniprot:P52434|uniprot:P61218|uniprot:O15514|uniprot:P36954|uniprot:P52435|uniprot:P62487|uniprot:P24928|uniprot:Q00403|uniprot:P52655|uniprot:P52657|uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804|uniprot:Q92759|uniprot:P19447|uniprot:Q13889|uniprot:Q13888|uniprot:P32780|uniprot:Q6ZYL4|uniprot:P50613|uniprot:P51948|uniprot:P51946|uniprot:P18074	R-HSA-109633|R-HSA-109632|R-HSA-71307|R-HSA-109631|R-HSA-113401|R-HSA-109630|R-HSA-109629|R-HSA-109628|R-HSA-109626|R-HSA-109634|R-HSA-69221	2449431|8946909
R-HSA-109696	"AKT2:PIP3 [plasma membrane]"	uniprot:P31751|chebi:16618	-	9445477|9679957|8645147|12791994|11598301
R-HSA-109697	"PDPK1:PIP3 [plasma membrane]"	uniprot:O15530|chebi:16618	-	9637919|9895304
R-HSA-109783	"p21 RAS:GTP [plasma membrane]"	chebi:15996|uniprot:P01116-2|uniprot:P01111|uniprot:P01116-1|uniprot:P01112	-	23168613|18757403|1377053|9070211|16483568|15284455|1898771|24971884|12728273|10486198|18413839|10373510|10934204|12639709|19345670|12481435|1569084|11221888|15221957|16573649|22908275|25371820|10777492|10722704|11090077|10802064|21615729|25781681|12776187|22750304|23073628|28192400|10835426|19103595|20889717|22592532|18452557|12391145|12147692|11157491|8752100|28778966|27536065|10196222|9739761|19946327|21102635|30389923|7637786|16129412|7731718|18039657|9078261|19438505|17462920|23303910|8493579|30301790|25853726|23752188|18381441|24588013|26545934|22089421|9632781|28274957|9038378|10698507|14622581|8622888|25994018|12522257|16024644|25239608|17227708|8530489|19802003|20927104|9857065|23948973|27795560|8388543|17764812|24937142|15118125|21160078|8530511|20179196|7970720|22046346|21711248|17052120|18978815|31066629|21372320|11429702|26375550|1721591|29408302|17283063|23220880|1371879|9690470|21666749|25467007|15928335|16843263
R-HSA-109796	"p21 RAS:GDP [plasma membrane]"	chebi:17552|uniprot:P01116-2|uniprot:P01111|uniprot:P01116-1|uniprot:P01112	-	28778966|6148751|21993244|23443682|25781681|22589270
R-HSA-109797	"GRB2-1:SOS1 [cytosol]"	uniprot:Q07889|uniprot:P62993-1	-	19665053|8479541|8493579
R-HSA-109798	"GRB2-1:SOS1:p-Y427-SHC1 [cytosol]"	uniprot:Q07889|uniprot:P62993-1|uniprot:P29353	R-HSA-109797	8810325
R-HSA-109800	"GRB2-1:SOS1:p-Y-IRS1,p-Y-IRS2 [cytosol]"	uniprot:P35568|uniprot:Q9Y4H2|uniprot:Q07889|uniprot:P62993-1	R-HSA-109797	8810325|9852124|8530377|9003010|8316835|8621421|9832424
R-HSA-109801	"GRB2-1:p-4S-SOS1 [cytosol]"	uniprot:Q07889|uniprot:P62993-1	-	7739560
R-HSA-109838	"p-2S-MAP2K1:MAPK3 [cytosol]"	uniprot:P27361|uniprot:Q02750	-	8388392
R-HSA-109843	"p-T,Y-MAPK3:p-2S-MAP2K1 [cytosol]"	uniprot:P27361|uniprot:Q02750	-	22177953|23954936|8388392|8131746
R-HSA-109844	"p-T202, Y204 MAPK3 dimer [cytosol]"	uniprot:P27361	-	-
R-HSA-109845	"p-T202, Y204 MAPK3 dimer [nucleoplasm]"	uniprot:P27361	-	-
R-HSA-109849	"p-S,T-MAP2K2:MAPK1 [cytosol]"	uniprot:P28482|uniprot:P36507	-	8388392
R-HSA-109854	"p-S,T-MAP2K2:p-T,Y-MAPK1 [cytosol]"	uniprot:P36507|uniprot:P28482	-	22177953|8388392|8131746
R-HSA-109855	"p-T185,Y187 MAPK1 dimer [cytosol]"	uniprot:P28482	-	-
R-HSA-109856	"p-Y185,Y187 MAPK1 dimer [nucleoplasm]"	uniprot:P28482	-	11726503|8635462|15314172|12904306|11689445|10228164|19879889
R-HSA-109876	"pol II open pre-initiation complex [nucleoplasm]"	uniprot:P29084|uniprot:P29083|uniprot:Q00403|uniprot:Q92759|uniprot:P19447|uniprot:Q13889|uniprot:Q13888|uniprot:P32780|uniprot:Q6ZYL4|uniprot:P50613|uniprot:P51948|uniprot:P51946|uniprot:P18074|uniprot:P35269|uniprot:P13984|uniprot:P30876|uniprot:P19388|uniprot:P53803|uniprot:P19387|uniprot:P62875|uniprot:P52434|uniprot:P61218|uniprot:O15514|uniprot:P36954|uniprot:P52435|uniprot:P62487|uniprot:P24928|uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804|uniprot:P52655|uniprot:P52657	R-HSA-109633|R-HSA-109634|R-HSA-69221|R-HSA-71307|R-HSA-109631|R-HSA-113401|R-HSA-109626|R-HSA-109629	9405375|8156590|8946909|8490964|10723029|7151173|1310361|10024882
R-HSA-109878	"pol II transcription complex [nucleoplasm]"	uniprot:P29084|uniprot:P29083|uniprot:Q00403|uniprot:Q92759|uniprot:P19447|uniprot:Q13889|uniprot:Q13888|uniprot:P32780|uniprot:Q6ZYL4|uniprot:P50613|uniprot:P51948|uniprot:P51946|uniprot:P18074|uniprot:P35269|uniprot:P13984|uniprot:P30876|uniprot:P19388|uniprot:P53803|uniprot:P19387|uniprot:P62875|uniprot:P52434|uniprot:P61218|uniprot:O15514|uniprot:P36954|uniprot:P52435|uniprot:P62487|uniprot:P24928|uniprot:Q5VWG9|uniprot:Q6P1X5|uniprot:Q9HBM6|uniprot:Q92750|uniprot:Q15543|uniprot:Q16514|uniprot:Q15544|uniprot:Q12962|uniprot:Q5H9L4|uniprot:Q15545|uniprot:P49848|uniprot:Q16594|uniprot:P20226|uniprot:Q15542|uniprot:O00268|uniprot:Q8IZX4|uniprot:P21675|uniprot:Q92804|uniprot:P52655|uniprot:P52657	R-HSA-109633|R-HSA-109634|R-HSA-69221|R-HSA-71307|R-HSA-109631|R-HSA-113401|R-HSA-109626|R-HSA-109629	9405375|8465201|11784853
R-HSA-109909	"RNA Polymerase II holoenzyme complex (hyperphosphorylated) [nucleoplasm]"	uniprot:P30876|uniprot:P19388|uniprot:P53803|uniprot:P19387|uniprot:P62875|uniprot:P61218|uniprot:P52434|uniprot:O15514|uniprot:P36954|uniprot:P52435|uniprot:P62487|uniprot:P24928	-	24127601|23973375|22466612|16751180|20541997|22466610|22466611|15489290|23906714|11859374|22902626
R-HSA-109943	"ERCC1:ERCC4 [nucleoplasm]"	uniprot:Q92889|uniprot:P07992	-	25500724|20603016|22692201|19279666|7559382|25430771|15572677|20603073|21282463|20603015|20671156
R-HSA-110010	"GRB10:INSR [plasma membrane]"	uniprot:P01308|uniprot:P06213|uniprot:Q13322	R-HSA-74678|R-HSA-74674|R-HSA-74671	12493740|14615605
R-HSA-110060	"DCI dimer [mitochondrial matrix]"	uniprot:P42126	-	-
R-HSA-110061	"DECR1 tetramer [mitochondrial matrix]"	uniprot:Q16698	-	-
R-HSA-110150	"TDG:(T:G)-dsDNA [nucleoplasm]"	uniprot:Q13569	-	8407958|8662714|21722948
R-HSA-110152	"UNG-1:(Ura:Gua)-dsDNA [nucleoplasm]"	uniprot:P13051-1	-	9724657
R-HSA-110154	"UNG-1:5-OHU-dsDNA [nucleoplasm]"	uniprot:P13051-1	-	8602352
R-HSA-110155	"TDG:(Ura:Gua)-dsDNA [nucleoplasm]"	uniprot:Q13569	-	22962365|8407958
R-HSA-110163	"SMUG1:Ura-DNA [nucleoplasm]"	uniprot:Q53HV7	-	10074426|12718543
R-HSA-110168	"MBD4:CpG(U:G)-dsDNA [nucleoplasm]"	uniprot:O95243	-	11056019
R-HSA-110170	"MBD4:CpG(T:G)-dsDNA [nucleoplasm]"	uniprot:O95243	-	12456671|22848106|10930409
R-HSA-110177	"NTHL1:Tg-dsDNA [nucleoplasm]"	uniprot:P78549	-	12140329|9705289|9890904
R-HSA-110179	"NTHL1:Cg-dsDNA [nucleoplasm]"	uniprot:P78549	-	9890904
R-HSA-110181	"NTHL1:DHU-dsDNA [nucleoplasm]"	uniprot:P78549	-	8218289|9705289
R-HSA-110183	"NTHL1:FapyA-dsDNA [nucleoplasm]"	uniprot:P78549	-	10882850|16221681|15341901
R-HSA-110185	"OGG1:(8oxoG:Cyt)-dsDNA [nucleoplasm]"	uniprot:O15527	-	9223305|9187114|9223306|10706276|9207108|9321410
R-HSA-110186	"OGG1:FapyG-dsDNA [nucleoplasm]"	uniprot:O15527	-	16221681|15341901
R-HSA-110188	"UNG-1:AP-dsDNA [nucleoplasm]"	uniprot:P13051-1	-	8602352|9724657
R-HSA-110190	"TDG:EtCYT-dsDNA [nucleoplasm]"	uniprot:Q13569	-	9811839
R-HSA-110191	"TDG:AP-dsDNA [nucleoplasm]"	uniprot:Q13569	-	18587051|22962365|21817016|8407958|21862836|9811839|22327402|8662714
R-HSA-110192	"SMUG1:AP-DNA [nucleoplasm]"	uniprot:Q53HV7	-	10074426|12718543
R-HSA-110193	"NTHL1:AP-dsDNA [nucleoplasm]"	uniprot:P78549	-	12140329|10882850|16221681|15341901|8218289|9705289|9890904
R-HSA-110194	"MBD4:CpG(AP)-dsDNA [nucleoplasm]"	uniprot:O95243	-	12456671|11056019|10930409
R-HSA-110195	"OGG1:AP-dsDNA [nucleoplasm]"	uniprot:O15527	-	9223305|16221681|9187114|9223306|10706276|9207108|9321410
R-HSA-110199	"MUTYH:(8oxoG:Ade)-dsDNA [nucleoplasm]"	uniprot:Q9UIF7-3|uniprot:Q9UIF7-6	-	10684930|11433026|8682794
R-HSA-110200	"MUTYH:AP-dsDNA [nucleoplasm]"	uniprot:Q9UIF7-3|uniprot:Q9UIF7-6	-	10684930|11121482|11433026
R-HSA-110202	"MPG:MADE-dsDNA [nucleoplasm]"	uniprot:P29372	-	9790531|8475094|8284199|1924375
R-HSA-110204	"MPG:EtAD-dsDNA [nucleoplasm]"	uniprot:P29372	-	8110764|7479006
R-HSA-110206	"MPG:Hyp-dsDNA [nucleoplasm]"	uniprot:P29372	-	8016081
R-HSA-110207	"MPG:AP-dsDNA [nucleoplasm]"	uniprot:P29372	-	9790531|8110764|8475094|8284199|1924375|8016081|9430628|7479006
R-HSA-110279	"POLZ [nucleoplasm]"	uniprot:Q9UI95|uniprot:O60673	-	10660610|11485998|23143872|19153606|21143968|17043239|22859295|11006276|12444249|24449906|15199127|20164194|8751446|22700975|10984059|8658138
R-HSA-110283	"REV1:MonoUb:K164-PCNA:RPA:RFC:AP-DNA Template [nucleoplasm]"	uniprot:P35250|uniprot:P35251|uniprot:P40937|uniprot:P35249|uniprot:P40938|uniprot:P27694|uniprot:P35244|uniprot:P15927|uniprot:P12004|uniprot:P0CG48|uniprot:P0CG47|uniprot:P62987|uniprot:P62979|uniprot:Q9UBZ9	R-HSA-5652039|R-HSA-5651997|R-HSA-68436|R-HSA-68462|R-HSA-5651993|R-HSA-5651984	17517887|10760286|10536157|16344468
R-HSA-110285	"REV1:MonoUb:K164-PCNA:RPA:RFC:(AP:Cyt)-DNA Template [nucleoplasm]"	uniprot:P35250|uniprot:P35251|uniprot:P40937|uniprot:P35249|uniprot:P40938|uniprot:P27694|uniprot:P35244|uniprot:P15927|uniprot:P12004|uniprot:P0CG48|uniprot:P0CG47|uniprot:P62987|uniprot:P62979|uniprot:Q9UBZ9	R-HSA-5652038|R-HSA-5651997|R-HSA-68436|R-HSA-68462|R-HSA-5651993|R-HSA-5651984	8751446|11917024|10760286|10536157
R-HSA-110288	"POLH:MonoUb:K164-PCNA:RPA:RFC:TT-CPD-DNA Template [nucleoplasm]"	uniprot:P35250|uniprot:P35251|uniprot:P40937|uniprot:P35249|uniprot:P40938|uniprot:P27694|uniprot:P35244|uniprot:P15927|uniprot:P12004|uniprot:P0CG48|uniprot:P0CG47|uniprot:P62987|uniprot:P62979|uniprot:Q9Y253	R-HSA-5653905|R-HSA-5651997|R-HSA-68436|R-HSA-68462|R-HSA-5651993|R-HSA-5651984	10856253|15149598
R-HSA-110290	"POLH:MonoUb:K164-PCNA:RPA:RFC:(TT-CPD:AA)-DNA Template [nucleoplasm]"	uniprot:P35250|uniprot:P35251|uniprot:P40937|uniprot:P35249|uniprot:P40938|uniprot:P12004|uniprot:P0CG48|uniprot:P0CG47|uniprot:P62987|uniprot:P62979|uniprot:P27694|uniprot:P35244|uniprot:P15927|uniprot:Q9Y253	R-HSA-5653909|R-HSA-68436|R-HSA-5651993|R-HSA-5651984|R-HSA-68462	10801132|10856253
R-HSA-110332	"APEX1:AP-dsDNA [nucleoplasm]"	uniprot:P27695	-	12519758|17537817|18805789|25086253|15479784|11139613|9724657|15713479|11160897|15823533|11889051|9200707
R-HSA-110334	"APEX1:SSB(AP->5'-dRP)-dsDNA [nucleoplasm]"	uniprot:P27695	-	9724657|9207062|9804798|7608159
R-HSA-110335	"POLB:APEX1:SSB(AP->5'-dRP)-dsDNA [nucleoplasm]"	uniprot:P06746|uniprot:P27695	R-HSA-110334	9207062
R-HSA-110337	"POLB:SSB-gap-dsDNA [nucleoplasm]"	uniprot:P06746	-	9207062
R-HSA-110338	"LIG3:XRCC1 [nucleoplasm]"	uniprot:P49916|uniprot:P18887	-	15260972|25201414|16982218|8978692|25789972|21816818
R-HSA-110339	"LIG3:XRCC1:POLB:SSB-gap-dsDNA [nucleoplasm]"	uniprot:P06746|uniprot:P49916|uniprot:P18887	R-HSA-110337|R-HSA-110338	17118717|8978692
R-HSA-110341	"LIG3:XRCC1:POLB:SSB-dsDNA [nucleoplasm]"	uniprot:P49916|uniprot:P18887|uniprot:P06746	R-HSA-110338	8978692
R-HSA-110343	"LIG3:XRCC1:POLB:dsDNA [nucleoplasm]"	uniprot:P49916|uniprot:P18887|uniprot:P06746	R-HSA-110338	8978692
R-HSA-110407	"APEX1:FEN1:PCNA:POLD,POLE:RPA:RFC:SSB(3'dNMP-displaced 5'ddRP)-dsDNA [nucleoplasm]"	uniprot:P35250|uniprot:P35251|uniprot:P40937|uniprot:P35249|uniprot:P40938|uniprot:P12004|uniprot:P56282|uniprot:Q07864|uniprot:Q9NRF9|uniprot:Q9NR33|uniprot:P28340|uniprot:P49005|uniprot:Q15054|uniprot:Q9HCU8|uniprot:P27694|uniprot:P35244|uniprot:P15927|uniprot:P27695|uniprot:P39748	R-HSA-5651799|R-HSA-68436|R-HSA-68440|R-HSA-68462	9214649|11601988|10744741|11687589
R-HSA-110576	"nucleoside diphosphate kinase B hexamer [cytosol]"	uniprot:P22392	-	1851158
R-HSA-110636	"NME4 hexamer [mitochondrial inner membrane]"	uniprot:O00746	-	10799505|18635542
R-HSA-110758	"Capped Intronless Histone pre-mRNA:CBC complex [nucleoplasm]"	uniprot:P52298|uniprot:Q09161	R-HSA-77088	-
R-HSA-110759	"Capped Intronless Histone pre-mRNA:CBP80:CBP20:SLBP [nucleoplasm]"	uniprot:Q14493|uniprot:P52298|uniprot:Q09161	R-HSA-110758|R-HSA-77088	9049306|8957003|10207079
